unit,sizen_r2,indic_is,geo\time	2016 	2015 	2014 
PC_ENT,10_C10_18,E_CC_ME,EU27	8 	: 	9 
PC_ENT,10_C10_18,E_CC_ME,EU28	8 	: 	9 
PC_ENT,10_C10_18,E_CC_ME,FI	25 	23 	22 
PC_ENT,10_C10_18,E_CC_ME,FR	7 	: 	4 
PC_ENT,10_C10_18,E_CC_ME,HR	8 	7 	7 
PC_ENT,10_C10_18,E_CC_ME,HU	5 	3 	2 
PC_ENT,10_C10_18,E_CC_ME,IE	23 	22 	19 
PC_ENT,10_C10_18,E_CC_ME,IS	: 	: 	8 
PC_ENT,10_C10_18,E_CC_ME,IT	13 b	: 	23 
PC_ENT,10_C10_18,E_CC_ME,LT	6 	6 	3 
PC_ENT,10_C10_18,E_CC_ME,LU	13 	: 	7 
PC_ENT,10_C10_18,E_CC_ME,LV	3 	3 	2 
PC_ENT,10_C10_18,E_CC_ME,MK	3 	: 	2 
PC_ENT,10_C10_18,E_CC_ME,MT	11 	: 	9 
PC_ENT,10_C10_18,E_CC_ME,NL	11 	: 	7 
PC_ENT,10_C10_18,E_CC_ME,NO	10 	16 	9 
PC_ENT,10_C10_18,E_CC_ME,PL	3 	2 	2 
PC_ENT,10_C10_18,E_CC_ME,PT	6 	: 	4 
PC_ENT,10_C10_18,E_CC_ME,RO	1 	2 	3 
PC_ENT,10_C10_18,E_CC_ME,RS	: 	: 	2 
PC_ENT,10_C10_18,E_CC_ME,SE	19 	: 	18 
PC_ENT,10_C10_18,E_CC_ME,SI	6 	7 	6 
PC_ENT,10_C10_18,E_CC_ME,SK	4 	8 	9 
PC_ENT,10_C10_18,E_CC_ME,UK	17 	: 	10 
PC_ENT,10_C10_18,E_CC_PANY,AT	10 	: 	8 
PC_ENT,10_C10_18,E_CC_PANY,BE	24 	19 	16 
PC_ENT,10_C10_18,E_CC_PANY,BG	3 	3 	5 
PC_ENT,10_C10_18,E_CC_PANY,CY	4 	6 	5 
PC_ENT,10_C10_18,E_CC_PANY,CZ	16 	: 	14 
PC_ENT,10_C10_18,E_CC_PANY,DE	12 	: 	7 
PC_ENT,10_C10_18,E_CC_PANY,DK	40 	34 	31 
PC_ENT,10_C10_18,E_CC_PANY,EA	15 	: 	17 
PC_ENT,10_C10_18,E_CC_PANY,EE	21 	: 	10 
PC_ENT,10_C10_18,E_CC_PANY,EL	8 	6 	: u
PC_ENT,10_C10_18,E_CC_PANY,ES	16 	11 	12 
PC_ENT,10_C10_18,E_CC_PANY,EU15	18 	: 	18 
PC_ENT,10_C10_18,E_CC_PANY,EU27	15 	: 	15 
PC_ENT,10_C10_18,E_CC_PANY,EU28	15 	: 	15 
PC_ENT,10_C10_18,E_CC_PANY,FI	53 	44 	40 
PC_ENT,10_C10_18,E_CC_PANY,FR	13 	: 	6 
PC_ENT,10_C10_18,E_CC_PANY,HR	18 	17 	18 
PC_ENT,10_C10_18,E_CC_PANY,HU	9 	8 	4 
PC_ENT,10_C10_18,E_CC_PANY,IE	40 	32 	28 
PC_ENT,10_C10_18,E_CC_PANY,IS	: 	: 	39 
PC_ENT,10_C10_18,E_CC_PANY,IT	17 b	: 	37 
PC_ENT,10_C10_18,E_CC_PANY,LT	14 	15 	8 
PC_ENT,10_C10_18,E_CC_PANY,LU	22 	: 	11 
PC_ENT,10_C10_18,E_CC_PANY,LV	6 	6 	4 
PC_ENT,10_C10_18,E_CC_PANY,MK	6 	: 	9 
PC_ENT,10_C10_18,E_CC_PANY,MT	18 	: 	16 
PC_ENT,10_C10_18,E_CC_PANY,NL	27 	: 	20 
PC_ENT,10_C10_18,E_CC_PANY,NO	32 	30 	21 
PC_ENT,10_C10_18,E_CC_PANY,PL	5 	4 	3 
PC_ENT,10_C10_18,E_CC_PANY,PT	10 	: 	8 
PC_ENT,10_C10_18,E_CC_PANY,RO	5 	5 	5 
PC_ENT,10_C10_18,E_CC_PANY,RS	: 	: 	2 
PC_ENT,10_C10_18,E_CC_PANY,SE	40 	: 	31 
PC_ENT,10_C10_18,E_CC_PANY,SI	13 	15 	7 
PC_ENT,10_C10_18,E_CC_PANY,SK	15 	21 	16 
PC_ENT,10_C10_18,E_CC_PANY,UK	36 	: 	19 
PC_ENT,10_C10_18,E_CC_PCPU,AT	1 	: 	: u
PC_ENT,10_C10_18,E_CC_PCPU,BE	5 	7 	3 
PC_ENT,10_C10_18,E_CC_PCPU,BG	0 n	1 	0 n
PC_ENT,10_C10_18,E_CC_PCPU,CY	0 n	1 	0 n
PC_ENT,10_C10_18,E_CC_PCPU,CZ	3 	: 	2 
PC_ENT,10_C10_18,E_CC_PCPU,DE	1 	: 	0 n
PC_ENT,10_C10_18,E_CC_PCPU,DK	12 	7 	7 
PC_ENT,10_C10_18,E_CC_PCPU,EA	2 	: 	2 
PC_ENT,10_C10_18,E_CC_PCPU,EE	6 	: 	0 n
PC_ENT,10_C10_18,E_CC_PCPU,EL	1 	2 	: u
PC_ENT,10_C10_18,E_CC_PCPU,ES	3 	2 	2 
PC_ENT,10_C10_18,E_CC_PCPU,EU15	3 	: 	2 
PC_ENT,10_C10_18,E_CC_PCPU,EU27	2 	: 	2 
PC_ENT,10_C10_18,E_CC_PCPU,EU28	2 	: 	2 
PC_ENT,10_C10_18,E_CC_PCPU,FI	7 	4 	6 
PC_ENT,10_C10_18,E_CC_PCPU,FR	2 	: 	1 
PC_ENT,10_C10_18,E_CC_PCPU,HR	5 	3 	5 
PC_ENT,10_C10_18,E_CC_PCPU,HU	1 	1 	1 
PC_ENT,10_C10_18,E_CC_PCPU,IE	5 	4 	4 
PC_ENT,10_C10_18,E_CC_PCPU,IS	: 	: 	14 
PC_ENT,10_C10_18,E_CC_PCPU,IT	1 b	: 	3 
PC_ENT,10_C10_18,E_CC_PCPU,LT	3 	5 	3 
PC_ENT,10_C10_18,E_CC_PCPU,LU	7 	: 	2 
PC_ENT,10_C10_18,E_CC_PCPU,LV	1 	1 	1 
PC_ENT,10_C10_18,E_CC_PCPU,MK	0 n	: 	2 
PC_ENT,10_C10_18,E_CC_PCPU,MT	5 	: 	4 
PC_ENT,10_C10_18,E_CC_PCPU,NL	3 	: 	4 
PC_ENT,10_C10_18,E_CC_PCPU,NO	8 	6 	4 
PC_ENT,10_C10_18,E_CC_PCPU,PL	1 	0 n	1 
PC_ENT,10_C10_18,E_CC_PCPU,PT	3 	: 	2 
PC_ENT,10_C10_18,E_CC_PCPU,RO	1 	1 	0 n
PC_ENT,10_C10_18,E_CC_PCPU,RS	: 	: 	0 n
PC_ENT,10_C10_18,E_CC_PCPU,SE	8 	: 	6 
PC_ENT,10_C10_18,E_CC_PCPU,SI	2 	4 	1 
PC_ENT,10_C10_18,E_CC_PCPU,SK	5 	4 	1 
PC_ENT,10_C10_18,E_CC_PCPU,UK	9 	: 	2 
PC_ENT,10_C10_18,E_CC_PCRM,AT	3 	: 	: u
PC_ENT,10_C10_18,E_CC_PCRM,BE	10 	7 	4 
PC_ENT,10_C10_18,E_CC_PCRM,BG	0 n	1 	1 
PC_ENT,10_C10_18,E_CC_PCRM,CY	0 n	1 	0 n
PC_ENT,10_C10_18,E_CC_PCRM,CZ	4 	: 	1 
PC_ENT,10_C10_18,E_CC_PCRM,DE	1 	: 	1 
PC_ENT,10_C10_18,E_CC_PCRM,DK	10 	7 	8 
PC_ENT,10_C10_18,E_CC_PCRM,EA	3 	: 	3 
PC_ENT,10_C10_18,E_CC_PCRM,EE	4 	: 	1 
PC_ENT,10_C10_18,E_CC_PCRM,EL	2 	2 	: u
PC_ENT,10_C10_18,E_CC_PCRM,ES	3 	2 	3 
PC_ENT,10_C10_18,E_CC_PCRM,EU15	3 	: 	3 
PC_ENT,10_C10_18,E_CC_PCRM,EU27	3 	: 	2 
PC_ENT,10_C10_18,E_CC_PCRM,EU28	3 	: 	2 
PC_ENT,10_C10_18,E_CC_PCRM,FI	16 	12 	8 
PC_ENT,10_C10_18,E_CC_PCRM,FR	2 	: 	1 
PC_ENT,10_C10_18,E_CC_PCRM,HR	3 	3 	2 
